0.0000E+00,0.0000E+00,0.00E+00,0.00E+00,0.0000E+00,4.4047E-01,HTTP 404
0.0000E+00,0.0000E+00,0.00E+00,0.00E+00,0.0000E+00,5.6660E-01,Alexa Internet
3.8206E-03,0.0000E+00,0.00E+00,0.00E+00,0.0000E+00,3.9865E-01,Internet Explorer
0.0000E+00,0.0000E+00,0.00E+00,0.00E+00,0.0000E+00,3.8174E-01,HTTP cookie
0.0000E+00,0.0000E+00,0.00E+00,0.00E+00,0.0000E+00,4.8552E-01,Google Search
1.2929E-02,1.3789E-02,7.76E-03,3.34E-02,0.0000E+00,3.3452E-01,Tumblr
0.0000E+00,0.0000E+00,2.07E-02,0.00E+00,6.0449E-03,3.5906E-01,Hypertext Transfer Protocol
0.0000E+00,0.0000E+00,0.00E+00,0.00E+00,0.0000E+00,4.9098E-01,Social search
1.5427E-02,1.4282E-02,3.77E-03,2.37E-02,2.6262E-02,4.8077E-01,Firefox
1.1174E-02,3.1368E-02,3.09E-02,6.57E-02,1.9668E-02,3.3829E-01,LinkedIn
0.0000E+00,0.0000E+00,5.31E-01,0.00E+00,2.8368E-02,0.0000E+00,Global warming
0.0000E+00,0.0000E+00,3.57E-01,0.00E+00,0.0000E+00,0.0000E+00,Nationally Appropriate Mitigation Action
1.2013E-02,6.5003E-03,3.12E-01,6.10E-02,1.1386E-02,1.9260E-02,Nigel Lawson
3.9349E-03,6.2443E-03,3.42E-01,1.11E-02,0.0000E+00,0.0000E+00,Connie Hedegaard
4.6382E-03,0.0000E+00,4.35E-01,0.00E+00,3.8427E-02,3.0813E-03,Climate change
0.0000E+00,0.0000E+00,4.83E-01,0.00E+00,0.0000E+00,0.0000E+00,Kyoto Protocol
5.6502E-03,1.8353E-02,3.77E-01,3.25E-02,0.0000E+00,1.1333E-02,350.org
0.0000E+00,0.0000E+00,4.81E-01,0.00E+00,0.0000E+00,0.0000E+00,Greenhouse gas emissions by the United States
0.0000E+00,9.0185E-03,5.51E-01,0.00E+00,0.0000E+00,0.0000E+00,2010 United Nations Climate Change Conference
0.0000E+00,0.0000E+00,4.66E-01,0.00E+00,0.0000E+00,0.0000E+00,2007 United Nations Climate Change Conference
0.0000E+00,1.1408E-02,2.09E-02,5.18E-01,5.8141E-02,1.3785E-02,Angelina Jolie
